Lead_ID,App_Engagement_Mins,Web_Configurator_Status,Test_Drive_Completed,Last_Contact_Days,Lead_Source,Purchase
8b3168fe,16.48795677185044,0,0,74,Walk-in,0
302cdfb7,47.246585903613756,0,0,41,Web Search,0
4512bca0,31.921914229845964,0,0,37,Walk-in,0
d230abb1,26.9274126071832,1,0,67,Walk-in,0
af783d7f,48.84020347018551,0,0,52,Social Media,0
b93a8404,13.72028675672288,1,0,32,Social Media,0
77682db5,19.176523758464704,1,0,70,Web Search,0
e56a06cc,31.18395457172091,1,0,55,Referral,0
8205dcca,30.403718858960445,1,0,71,Social Media,0
892c63fb,6.387683614476196,0,0,50,Web Search,0
8f8df1fc,17.70692120407672,1,0,73,Walk-in,0
799b8aff,22.004975555424096,1,0,42,Walk-in,0
30193618,33.669083130476515,0,0,14,Web Search,0
d35dcede,30.326454622763993,0,0,37,Walk-in,0
a406e0bc,23.58589446001963,1,0,14,Walk-in,0
b2b9b4ba,3.2115762285900096,0,0,4,Referral,1
b7b868d0,24.490067916771906,0,0,82,Walk-in,0
49e2aeaa,26.18458541677835,0,0,53,Social Media,0
64a86eaa,109.46996683174306,0,0,50,Walk-in,0
2ee1699e,21.456896589459497,0,0,9,Web Search,0
69e403fb,31.305892836959963,1,0,11,Referral,0
c0b56159,54.303191383214475,0,1,3,Walk-in,1
16f92ea3,42.57109044708541,0,1,17,Web Search,1
7d4e582b,63.19206870917219,0,0,79,Social Media,0
160eec76,6.493683291115296,0,0,35,Walk-in,0
123e8225,10.305928412404883,1,0,24,Referral,0
53dd5fa0,15.559005666633404,0,0,86,Walk-in,0
1effff75,5.38975792278382,0,0,75,Web Search,0
ddd14910,26.351359404122213,0,0,35,Referral,0
f00f98f9,11.087665658557754,0,0,66,Walk-in,0
8a369217,68.62813120023135,1,0,8,Social Media,1
0a171249,12.693013206679337,1,0,60,Referral,0
12aee521,19.267548268044592,0,0,52,Social Media,0
eb47684e,44.29443239556379,0,0,17,Web Search,0
58540f91,7.9370708545124025,0,0,42,Walk-in,0
74eb615d,5.003747473649867,0,0,34,Social Media,0
455f402f,28.748576156664186,0,0,62,Web Search,0
f4cf993a,30.377857286246297,0,0,77,Walk-in,0
91199750,43.40181959735746,0,1,3,Web Search,1
fb449a0c,36.53065830041622,0,0,40,Social Media,0
54cc274a,31.203355058554337,1,1,44,Web Search,1
78c0591f,14.008221254313394,1,1,49,Referral,1
011b71cd,29.772673674554163,0,0,78,Walk-in,0
7538d294,,1,0,27,Web Search,0
191a3c52,13.561264392127764,0,0,41,Social Media,0
9c61a4b6,,0,1,79,Walk-in,0
b0dbc717,35.34410356152164,1,0,75,Referral,0
7d7f6b85,10.476926182055948,1,0,68,Walk-in,0
20545185,43.54916857803393,1,0,0,Referral,0
438e7574,48.68092710605849,0,0,38,Walk-in,0
d6e1c5a3,33.87567523142123,0,0,89,Web Search,0
26e36815,20.542797572083952,1,0,16,Web Search,0
5c3d509c,13.060280190693147,0,0,87,Social Media,0
ed338f37,23.536457945281473,0,1,34,Referral,1
c2dc835a,32.20538918583453,0,0,45,Social Media,0
30967e23,25.252626745374734,0,1,41,Web Search,0
e3f6011f,65.03290825481423,0,0,38,Referral,0
101d2bd8,39.178692537705835,0,0,89,Social Media,0
72f84be4,11.803800815668978,1,0,48,Social Media,0
6ba27d47,9.467814822438356,0,0,61,Social Media,0
47a260d5,35.55526672525937,0,0,37,Social Media,0
8c022894,20.91753788954026,0,0,22,Social Media,1
6f3c3a9f,41.532182192840395,0,0,21,Referral,0
35649da1,35.32958442879738,0,1,3,Social Media,1
4d7465bc,23.616028191393905,0,1,48,Referral,0
4daca676,11.925910215900851,1,0,58,Social Media,0
d3edd0b5,5.642995870297829,0,0,72,Web Search,0
04e308ce,29.379311125466845,1,0,67,Web Search,0
51e2773c,7.803773004285483,0,0,70,Social Media,0
dbc64a79,,0,1,86,Walk-in,0
b62367c2,28.09659419979972,0,0,1,Web Search,0
3ba77c64,26.14423313278938,0,0,48,Referral,0
f7da333b,8.75582934710223,1,1,87,Social Media,1
e6949adb,52.3848984528533,0,0,30,Referral,0
f9527b23,51.46287645672613,0,0,39,Walk-in,0
3ba6c3c5,36.35871312563797,1,0,47,Social Media,0
24a3877a,36.32766681146971,1,0,50,Web Search,0
13d68d38,36.35902183696097,1,0,42,Referral,0
8bf99d05,48.39839920285595,0,0,54,Web Search,0
0d0c6633,39.85463041242373,1,0,87,Web Search,0
651554b3,12.821967161213044,0,0,48,Social Media,1
4b16d814,20.688727210564803,0,0,89,Referral,0
01d52e38,101.94798297336732,0,0,79,Walk-in,1
985e3a37,3.472264786069053,0,0,56,Web Search,0
30df3825,16.92944564204186,0,0,76,Social Media,0
9921954f,,0,0,14,Social Media,0
0d24b29d,13.549002393537549,1,0,26,Walk-in,0
2203269d,40.60468932523835,0,0,67,Social Media,0
98d0f1d7,25.892919575952828,0,0,79,Web Search,0
fb4b518b,14.385673755444634,0,0,63,Social Media,0
b8f5a8bd,2.715168256817379,1,0,29,Referral,0
f4349eba,28.78728779903202,0,0,35,Referral,0
8970768f,12.579139822242665,0,0,66,Web Search,0
f49ddea0,22.843310629122115,1,0,85,Referral,0
a3726175,36.10951454888664,1,0,85,Walk-in,1
d0af3eaa,45.79218447520617,0,0,48,Social Media,0
71f1e85e,16.884485336610357,0,0,75,Web Search,0
53275b3b,14.362524229862515,1,0,54,Walk-in,0
55b1bacc,7.669591168924451,0,1,84,Social Media,0
b8457c7d,,0,0,55,Walk-in,0
1308af0d,92.72588963262913,1,0,67,Web Search,1
37fffd6f,50.79714574799502,0,0,43,Web Search,0
68fba8ff,58.434015789640505,0,0,30,Walk-in,0
20e60dcb,13.647511432834737,0,0,57,Social Media,0
705b3116,34.6170249758351,0,0,86,Referral,0
461029ae,43.20104248441166,0,0,52,Referral,0
5909ae7c,9.94707896146982,1,0,83,Walk-in,0
c6fb9c06,71.80728219398942,0,0,78,Web Search,0
90bba704,6.27320150401475,0,0,22,Social Media,0
f96ca787,64.58485523843676,0,0,27,Social Media,0
ef8935c1,6.229231915453813,0,0,15,Web Search,0
4c8d7635,10.403064899171625,1,1,36,Referral,1
50464e05,35.05875739704506,0,0,20,Social Media,0
8ba43966,26.37621957407919,0,1,78,Walk-in,0
eb5f165d,18.256149497655166,0,0,16,Referral,0
3510324e,70.0071570808476,0,0,36,Walk-in,0
43f9a847,7.874590321530868,0,0,76,Referral,0
8ef46c46,22.174383008394894,1,0,18,Web Search,0
e1e2988f,38.21092635748357,1,0,29,Walk-in,1
b0109ac1,30.845713653075475,0,0,44,Walk-in,0
6c11d4a1,14.776343568029391,0,0,17,Web Search,0
1aab71ec,15.235658759481552,1,1,77,Walk-in,0
5e68a3f8,,1,0,61,Referral,0
7e6ae41d,46.780369782986554,0,0,35,Social Media,1
ed5d2a62,31.43548249243285,0,0,83,Social Media,0
3b8b869e,12.137579057482846,0,0,51,Web Search,0
b4b4e1da,15.645508378675332,1,0,18,Referral,0
12d296e3,24.597422826952915,1,0,43,Walk-in,0
4c04b2a4,27.341558608773337,0,1,6,Walk-in,1
fa72d272,37.16154177717133,0,0,43,Social Media,0
36e8a7cc,21.28540833964769,1,0,67,Walk-in,0
e66e86a3,44.63268348753332,1,0,33,Social Media,1
2b8aec93,44.2942174301177,1,1,65,Web Search,1
5e540d33,59.75930524617787,1,0,68,Walk-in,0
bea28b80,25.408947438554364,0,0,54,Referral,0
89c6dc92,31.817532630399587,0,0,9,Walk-in,0
7f15642f,22.563528099211474,0,0,41,Social Media,0
b2ea9725,12.266920237754984,0,0,40,Web Search,0
4dc9a894,91.35144329752694,0,0,76,Social Media,1
5c902927,54.8012509201356,1,0,68,Walk-in,0
ff130345,43.67764392677825,0,0,9,Social Media,1
462e5f89,24.763591390382853,1,0,9,Social Media,0
92977149,11.339221563164408,0,0,59,Web Search,0
dbf0b237,49.03640864329804,1,0,50,Referral,0
3c75e1d8,22.25900686054257,0,0,20,Walk-in,0
1ca8cec3,,0,0,7,Web Search,0
a8c37fc3,15.595356780847098,0,0,64,Referral,0
a6469f5d,30.0501262746748,0,0,77,Social Media,0
d590bdd2,16.411980939303675,1,0,84,Referral,0
149f485f,16.94279279650054,1,1,29,Social Media,1
4db3a7ba,29.76824067375265,0,0,84,Social Media,0
d1af2b8a,6.13598212640863,0,0,48,Web Search,0
feb10569,6.449536179121809,0,0,8,Social Media,0
b7c9ab00,13.508616568543822,0,0,16,Web Search,0
75d2538c,21.09022731826588,1,0,68,Referral,0
8cbfe8cb,45.557893693294304,1,0,57,Referral,0
530bc7f1,22.02894474502505,0,0,56,Social Media,0
c7f330bd,24.643205613592627,1,0,61,Web Search,0
faa2fc73,19.816418150721283,0,0,51,Social Media,0
30b32ab9,31.784617946079777,1,0,60,Web Search,1
c4e09498,,0,0,39,Web Search,0
964de129,22.95245901001624,1,0,37,Web Search,0
61655906,33.61387188858867,1,1,42,Referral,1
c31092e5,29.595462123489053,0,1,62,Web Search,0
933b9bb6,25.24464449463874,1,0,18,Referral,0
f2fed0c4,25.477647563194743,0,0,49,Web Search,0
c74c72cd,35.93685490217659,0,0,32,Referral,0
940280f6,94.17298795318422,0,0,12,Walk-in,1
1d860142,12.890052500282533,1,0,77,Referral,0
5a1f94b7,95.90028490177585,1,0,61,Referral,1
9d34d518,12.38684416993929,1,0,42,Social Media,0
8ca09188,2.302702429184716,1,0,48,Web Search,0
62da656f,16.13835014179738,0,0,35,Walk-in,0
9476bff4,32.21923891253026,1,0,9,Social Media,0
07a77c4e,81.77395223970306,0,0,5,Web Search,0
3e0d77f7,11.325962525282229,0,0,56,Walk-in,0
2b2a6f62,35.78712143404177,0,1,0,Walk-in,1
7b9457d3,7.158599169749087,1,0,70,Walk-in,0
ec7be836,79.88084532450314,1,0,57,Web Search,1
27ac5299,55.50119716515828,0,1,20,Walk-in,1
38631b38,16.97063789785216,0,1,79,Walk-in,0
0d6590b0,61.45039186617475,1,0,55,Social Media,0
1d1f8520,22.8468956596681,0,0,86,Referral,0
5de6c0df,57.44730919004511,1,0,19,Web Search,1
f86b33fc,25.101681352385253,1,0,53,Referral,0
af8979d0,25.920855790166915,0,0,24,Social Media,0
81796993,17.258083189536418,0,0,27,Referral,0
6b3e0bd2,39.10512812214844,1,0,4,Walk-in,1
778a1af0,27.402619208494645,1,0,20,Walk-in,1
3dcc04f5,36.343889172318484,0,0,17,Web Search,0
fc4791f0,5.505806077394587,1,0,46,Web Search,0
794a423a,58.80196110891774,0,0,69,Web Search,0
75a640b3,68.67436738967437,0,0,56,Social Media,0
3dc0a610,27.307598832467523,1,0,18,Web Search,0
4a93a408,89.90559962857337,1,0,64,Social Media,1
cbfede32,76.72562484616718,0,0,2,Walk-in,0
29479e79,39.69587762299494,1,1,41,Referral,1
4943b3e6,61.972419480543884,0,0,20,Walk-in,0
91158635,51.60786372384747,0,0,39,Walk-in,0
6a261100,,0,0,66,Walk-in,0
3bbb522a,20.137444784189196,1,0,24,Web Search,0
faefc451,41.628461603396055,0,0,54,Web Search,0
e8e8cd58,71.65885947567817,0,0,83,Web Search,0
1b69d145,6.666658774715288,0,0,51,Referral,0
81c378d0,,1,0,43,Web Search,0
4d68aff6,23.939677413853456,0,0,84,Social Media,0
17def20c,2.53294268093856,1,0,55,Walk-in,0
7e4d7315,23.313605163450276,0,0,54,Referral,0
f041b4d0,32.79231775456404,0,1,86,Referral,0
85234691,10.85888693284487,0,0,69,Referral,0
9c16425b,23.805761879537506,1,0,76,Referral,0
a4027d53,,1,0,86,Referral,0
a1382ff1,16.07331115501628,0,0,72,Social Media,0
e65ebed4,12.574826965510884,0,0,80,Walk-in,0
aff23f97,22.98411585811071,0,0,65,Referral,0
4e9b6120,9.833800556091886,0,0,18,Walk-in,0
99bc4bb2,85.61114999298243,0,0,82,Web Search,0
5f1fb004,25.689112208469236,0,0,6,Referral,0
8f03387c,13.750522609251028,0,0,62,Referral,0
f2cfafad,29.376856373424907,0,0,41,Walk-in,0
5ce85514,22.88725471207519,0,0,41,Referral,0
592e6d6f,20.96043690291836,1,0,58,Referral,0
5bf97877,16.069798420464224,0,0,19,Referral,0
2976845d,15.4250011487286,0,0,72,Social Media,0
95428d5f,5.640527831132326,1,0,16,Social Media,0
bb4ab2ac,61.91011024159218,0,0,26,Referral,0
5a4b9155,37.90954365527348,0,0,46,Social Media,0
ec2ef674,31.5246923501847,0,1,1,Web Search,0
bd17acef,22.603800315015715,0,0,62,Referral,0
937b8310,10.685878134913079,0,0,61,Web Search,0
754dd974,13.027465979726266,0,0,18,Walk-in,0
d1ab01af,6.334164358925235,1,0,16,Web Search,0
c9895aa3,14.453132090919503,0,0,68,Walk-in,0
c910bfd0,9.360215305786488,0,0,38,Referral,0
12f225c9,73.97019806138262,0,0,81,Walk-in,0
bf182c1c,46.25422503878657,0,0,70,Walk-in,0
18be9095,26.528359403527084,0,0,80,Web Search,0
a7b189b2,11.755412602736492,1,0,38,Web Search,0
8e759cee,9.81298325266278,0,1,35,Web Search,1
88342c61,21.492283954236903,0,0,39,Referral,0
8d014e33,47.56626491475556,0,0,44,Referral,0
8dbd245e,6.519602924947248,0,0,3,Web Search,0
f16fab0a,37.56330578964069,1,0,24,Referral,1
49cb3b7c,14.398508974752769,0,0,68,Referral,0
b2cf6240,16.70357095599316,0,0,29,Walk-in,0
c5deed7c,25.951438186396487,0,0,75,Walk-in,0
668be0f0,12.114206751290757,1,0,67,Web Search,0
43293dca,20.652400794688194,0,0,87,Referral,0
69af0fd5,11.221776588634457,0,0,28,Walk-in,0
874e38fd,15.411628602800613,1,0,72,Social Media,0
7373331e,42.6666570358708,1,1,67,Referral,1
6fd94b30,26.97331812685792,0,0,50,Social Media,0
55217907,42.55601738854971,0,0,23,Web Search,1
314eba43,,0,0,13,Referral,0
b9eddc05,37.7574556573006,0,1,68,Web Search,0
af61fc28,4.872008212303175,0,0,17,Web Search,0
6a19d178,25.942769642927644,0,0,41,Web Search,0
6f85a617,39.51735758771215,0,0,56,Web Search,0
c72dd229,4.65417083238544,0,0,82,Web Search,0
59155589,14.382515496031354,0,0,11,Referral,0
8f33fa81,25.92915031832721,1,0,81,Social Media,0
ff6efa27,49.98840924143956,0,1,16,Referral,1
1e4ee5a1,15.409937904209341,0,0,29,Referral,0
3f7e128c,36.72707159719576,0,0,87,Referral,0
e7848977,64.59562344710827,1,0,74,Walk-in,1
a348dab6,37.92271258738742,0,0,22,Walk-in,0
0e72145f,,0,1,80,Referral,0
d67c411f,32.89795595633041,0,0,0,Social Media,0
5fcde23f,15.033051604447689,0,0,78,Referral,0
0537262c,26.714572365679796,0,0,31,Unknown_Source_999,0
79d33f9c,22.10487671002018,0,0,8,Walk-in,0
08f50441,32.12408371560268,0,0,14,Walk-in,0
4b4afe3a,17.842181947992866,1,0,27,Referral,1
b8436c67,33.44290642961585,0,0,23,Referral,0
c37eb4bd,17.70170312726306,0,1,59,Social Media,0
77422566,45.94802359092733,1,0,34,Social Media,0
1d6d8cc1,19.203125681731024,0,1,85,Web Search,0
044f7b7d,2.658343361107703,0,0,26,Referral,0
cdfb3283,10.118827073633383,0,0,82,Referral,0
5e6a2102,25.358369251579067,0,0,75,Referral,0
e49ecc67,73.54379893140494,1,0,19,Walk-in,1
d2283fba,44.746467776572544,1,0,64,Web Search,0
1d89089f,1.9750452290779585,0,0,84,Social Media,0
94e9fc3d,5.90733573160686,0,0,48,Walk-in,0
7e722893,54.33344259948695,1,0,0,Walk-in,0
bff1852a,,1,0,9,Walk-in,0
af06efa3,99.79024200887133,1,0,46,Walk-in,0
76485169,17.117864209272728,0,0,58,Web Search,0
00763196,11.88987962737676,0,0,61,Referral,0
22db6ec8,26.411640590910952,1,0,85,Social Media,0
9c73a7f3,16.844088666374766,0,0,17,Social Media,0
e18cc42b,50.95495774433305,0,1,45,Walk-in,0
bb0e98d1,16.36706913196844,0,0,31,Walk-in,0
5dd7169c,20.129598303995195,0,0,26,Web Search,0
722dcdd8,10.432720552266328,0,0,17,Walk-in,0
a0f59926,42.71084891166429,0,0,38,Social Media,0
60d3d25c,11.05682413098802,1,0,48,Social Media,0
31a1f7b6,33.89118513882315,0,0,81,Referral,0
fd738db5,81.80062334353488,1,1,43,Referral,1
f8c875b4,3.9527271844296257,0,0,71,Social Media,0
0ad1d36c,66.60242522022178,0,0,53,Social Media,0
e749bff3,30.822924756217297,1,0,33,Web Search,0
a452903e,8.92510881782059,0,0,70,Web Search,0
8364366e,27.17882056295519,0,0,35,Social Media,0
988fc1df,41.852606879548276,0,0,17,Walk-in,0
6f67d8b5,12.604224608889824,0,0,37,Referral,0
fde972f7,,1,1,58,Social Media,1
3a08e7ee,70.28336017567656,1,0,8,Walk-in,1
5491bc9b,16.3495652489623,0,0,72,Social Media,0
9ac3e2b4,10.315923175721542,0,0,71,Referral,0
c8d8576c,22.642402047854635,0,0,50,Referral,0
78609eb3,26.094709080409718,1,0,34,Web Search,0
93a3dc97,52.738948621601914,0,0,81,Web Search,0
4c19e7f8,22.063325065035258,0,0,4,Web Search,0
307a9d2d,17.61114561732919,0,0,13,Web Search,1
292e4c21,10.076311303494313,0,0,29,Referral,0
d4c9c970,4.696368361551433,0,1,3,Walk-in,0
0f90f783,7.416306342059076,1,0,38,Walk-in,0
8bba51c1,7.372310725457293,0,1,83,Walk-in,1
1c96fc4b,20.302445546360136,0,1,63,Social Media,1
1c668f79,5.727438214600897,1,0,24,Web Search,0
f9f5e0ca,23.96325521578498,1,0,27,Web Search,1
283d306a,80.61816178095891,0,0,75,Referral,1
5f841834,53.77686057071257,0,0,65,Referral,0
c68c4002,20.14613248177316,0,0,77,Social Media,0
03f6e998,115.27718961071838,0,0,21,Social Media,1
d5b3c60c,26.16438352458891,0,1,30,Walk-in,1
fee55f97,29.035427453620617,0,0,22,Referral,0
9c121d85,22.307377651148702,0,0,47,Web Search,0
fd69981e,24.3710844126134,1,0,19,Walk-in,0
012f5b71,15.884117787421266,0,1,37,Web Search,1
6ddb1f21,20.380320748015883,0,0,54,Walk-in,0
4467dccf,66.89867177777455,0,1,67,Web Search,0
3e6e8645,57.726596544016324,1,0,78,Social Media,0
12930489,2.507991660474104,1,0,87,Walk-in,0
8f2c4025,6.449160122929129,1,0,88,Web Search,0
ab804368,12.76013401189192,1,0,0,Web Search,0
8886f5b1,47.84932376632371,1,0,6,Referral,0
3c3dfe57,58.59254608077711,0,0,56,Walk-in,0
7acec68e,41.740914264905975,0,0,11,Web Search,0
35a0563e,,0,0,4,Referral,0
0266e7b7,16.156216505955747,1,0,49,Web Search,0
2bd7c77c,35.72456938447117,1,1,41,Walk-in,1
000a7dc8,20.628927029048533,0,0,11,Social Media,0
39bfb7ea,18.42141871595528,0,0,17,Walk-in,0
34b3c569,18.641163488640675,0,0,65,Walk-in,0
be6d5796,54.84109219345398,1,0,73,Web Search,1
f89718af,38.333984063209904,0,0,78,Unknown_Source_999,1
49890ae3,19.471990152068265,0,0,16,Walk-in,0
9a3fa68b,31.862280072502386,0,0,67,Referral,0
72114892,7.755976215318471,0,0,70,Referral,0
71b84940,16.182245414265168,1,0,61,Referral,0
741e4d6c,51.31283171096164,0,0,40,Web Search,0
66fe3ef9,5.348327740500333,1,0,33,Web Search,0
ee9b139c,,0,0,69,Walk-in,0
0adcde09,2.472459094127238,0,0,44,Social Media,0
5ba62246,74.34258227555218,0,0,57,Web Search,0
d9da0278,,1,0,50,Walk-in,0
d1b9d243,33.55314896424152,0,1,33,Walk-in,0
0df83602,27.277890065411043,0,0,43,Social Media,0
ca3c332c,28.024995344508884,0,0,14,Referral,0
835fcebe,31.44681448086728,1,0,77,Walk-in,0
88bc6b4a,4.353727177506828,0,0,69,Walk-in,0
dec614db,28.456916643797317,1,0,49,Walk-in,0
4e9fbaf4,21.60374732848238,0,0,31,Referral,0
c3332682,15.93663001089924,0,0,66,Referral,0
0bfbaa17,12.754099009557077,0,0,2,Social Media,0
b61af18e,28.987536404757698,0,0,85,Web Search,0
f1720e17,10.436948738212884,0,0,85,Referral,0
ad8ffa2b,50.6943991747402,0,0,73,Web Search,0
ff4ffd70,35.313975954826475,0,0,50,Web Search,0
9c74852e,30.292972890174124,1,0,66,Referral,0
b4c19610,49.26650711830352,0,0,75,Walk-in,0
c59774dd,,1,0,47,Social Media,0
560ba423,7.506108616755269,0,0,16,Web Search,0
ee710470,36.42397265578774,0,0,6,Walk-in,0
76e1f18c,13.41505673326942,0,0,12,Referral,0
752918b5,,0,0,65,Web Search,0
5d34b107,6.455837386459568,0,0,3,Web Search,0
d9b8f04a,10.464009314874827,0,0,9,Web Search,0
60be59e4,51.45785476226161,0,0,87,Walk-in,0
4c13ab74,35.82153631963039,0,0,16,Walk-in,0
eabc665c,28.752875570581864,1,0,51,Walk-in,0
65aea006,15.42753336469765,1,0,5,Web Search,1
3853884a,27.437923480493414,0,0,82,Web Search,0
b8907ab7,,0,0,68,Social Media,0
bbb9b47e,13.705710307910795,0,0,73,Social Media,0
fef21cdb,24.328553335051534,0,0,8,Walk-in,0
f1cd158e,,0,0,76,Walk-in,0
2bd32479,41.36268328725727,0,1,82,Referral,1
aba65810,15.613145902740053,0,0,20,Walk-in,0
31a1734f,39.07799716148593,0,1,23,Social Media,1
18d9929d,5.254705411928717,0,0,3,Social Media,0
54fe92b7,23.586127057562344,1,0,23,Social Media,1
8cf18c40,39.048326687052295,1,0,58,Web Search,0
13864d12,33.10890180723993,0,0,2,Web Search,0
88a3484f,38.78597559665318,1,0,67,Walk-in,0
55b97137,44.8755265706203,1,0,39,Referral,1
148674d4,34.98787888744136,0,0,47,Referral,0
05f0b9a1,34.276503423840005,0,1,53,Referral,0
e2c97b44,29.241380742504298,0,0,34,Web Search,0
258042b4,9.365160085969832,1,0,55,Social Media,0
86d5b593,51.44253546697607,1,0,88,Social Media,0
180f4ef9,24.241814157739952,0,0,39,Web Search,0
7dbde427,40.65562807675966,0,0,76,Referral,0
9da8df55,47.92714259059604,0,0,67,Referral,0
895dce82,16.279209817111123,0,0,45,Walk-in,0
be368b8b,17.49465269586621,0,0,77,Unknown_Source_999,0
e85f3f45,19.478127014007594,1,0,12,Referral,1
915ec123,58.05438590317897,0,1,26,Web Search,1
08e728af,11.369509012367299,1,0,5,Referral,0
0b46eaa1,64.79306465687512,1,1,16,Walk-in,1
fe9dc8bf,29.002703569479994,1,0,35,Referral,0
0f9ff4ba,30.536181010678575,0,0,80,Web Search,0
a546529c,,0,0,1,Social Media,0
9633451d,26.62751561983875,0,0,76,Web Search,0
7cf8bd0d,51.82970336339861,0,0,51,Web Search,0
0d0fc045,16.26112252560707,0,0,65,Walk-in,0
547c73ce,63.427837007941946,0,0,51,Web Search,1
8585462c,17.32719334377029,0,0,42,Web Search,0
e7c325e6,65.02742888529288,0,0,89,Walk-in,0
2f3c5d05,17.713977119809773,0,0,21,Walk-in,0
0d27f39e,19.930648924537707,0,0,54,Social Media,0
73c29513,10.1606917071935,1,0,66,Referral,0
e1299e24,12.884450061222738,1,0,59,Web Search,0
2d928549,24.33432729439979,0,0,57,Walk-in,0
c40106fa,29.815360486726995,0,1,11,Social Media,1
3291c611,49.31618164176081,0,0,87,Referral,0
d979de31,21.080863240422016,0,0,68,Walk-in,0
109263f0,33.16058418966711,0,0,83,Referral,0
625d965c,28.363849434428325,1,0,38,Referral,0
0a0df5ec,35.800210647554756,0,0,12,Web Search,0
f861dacf,14.572161791776633,0,0,40,Web Search,0
8f1e09f9,16.06264833628574,0,0,56,Walk-in,0
c088b63f,14.576930319589438,0,0,52,Referral,0
2796da27,55.81738817442853,0,0,11,Walk-in,0
6a5731e7,63.830584147222424,0,0,12,Walk-in,0
5360c6db,15.496294389291766,0,0,73,Referral,0
9f0a0a7e,15.758530113325003,0,1,56,Walk-in,1
1c784bbd,39.36879772584259,0,0,39,Referral,0
55e39c20,68.53594630120176,0,0,79,Referral,0
07ea4baa,78.39539439021945,0,0,44,Referral,1
96e734cc,14.911925098601731,1,0,34,Referral,0
428fc37b,18.218675907660387,0,1,2,Social Media,0
5b2b18af,30.95440741461633,0,0,4,Referral,0
078aa5c4,32.052134509819396,0,1,89,Web Search,0
a73a0059,21.727599125816546,0,0,10,Web Search,0
1013f248,12.508506953118701,0,0,70,Web Search,0
74b888c4,,0,0,55,Referral,0
9e92dec6,,1,0,9,Web Search,0
ed04994c,16.256429565257577,0,1,33,Social Media,0
77eec2a8,29.58886324054272,0,0,66,Walk-in,0
824ef02f,112.80436241578502,0,0,71,Referral,0
64324e85,16.064496658596774,1,0,30,Web Search,0
436340e5,40.66609420265983,0,0,74,Social Media,0
4bf26e46,80.52314833210053,0,0,70,Walk-in,0
9bc55973,38.27102291235443,0,0,65,Social Media,0
4288f5ac,53.202545620059915,0,0,69,Web Search,0
22b6c707,44.49221398620438,0,0,40,Social Media,0
5b274b1f,36.16612752406927,0,1,62,Walk-in,1
900f626a,62.45346961287984,0,0,31,Web Search,0
